inspection_type,job_ticket_or_work_order_id,job_id,job_progress,bbl,boro_code,block,lot,house_number,street_name,zip_code,latitude,longitude,borough,inspection_date,result,approved_date,location,community_board,council_district,census_tract,bin,nta,x_coord,y_coord
Compliance,14234880,PC8645829,2,1021290017,1,02129,0017,142,AUDUBON AVENUE,10032,40.843143797917,-73.936428965362,Manhattan,2026-01-29T10:00:56.000,Rat Activity,2026-01-30T06:42:05.000,"{'latitude': '40.843143797917', 'longitude': '-73.936428965362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,10,253,1063096,Washington Heights (South),,
Initial,14235034,PC8660468,1,1019990029,1,01999,0029,3281,BROADWAY,10027,40.818310469632,-73.9563887392,Manhattan,2026-01-29T10:18:43.000,Failed for Other R,2026-01-30T11:48:58.000,"{'latitude': '40.818310469632', 'longitude': '-73.9563887392', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,219,1059935,Manhattanville-West Harlem,996321,237415
Initial,14234542,PC8660480,1,3014430024,3,01443,0024,2366,PACIFIC STREET,11233,40.675298045279,-73.906825706289,Brooklyn,2026-01-29T10:23:56.000,Rat Activity,2026-01-30T12:17:50.000,"{'latitude': '40.675298045279', 'longitude': '-73.906825706289', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16,37,36502,3038778,Ocean Hill,1010095,185322
Initial,14235030,PC8658729,1,2031050034,2,03105,0034,2465,CROTONA AVENUE,10458,40.855502363152,-73.882833068992,Bronx,2026-01-29T10:35:00.000,Rat Activity,2026-01-30T11:58:33.000,"{'latitude': '40.855502363152', 'longitude': '-73.882833068992', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,389,2012914,Belmont,1016662,250984
Compliance,14235035,PC8642448,2,1019870036,1,01987,0036,1496,AMSTERDAM AVENUE,10031,40.818097718134,-73.952830188244,Manhattan,2026-01-29T10:42:43.000,Rat Activity and F,2026-01-30T12:00:19.000,"{'latitude': '40.818097718134', 'longitude': '-73.952830188244', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,219,1059742,Manhattanville-West Harlem,,
Compliance,14234882,PC8645876,2,1021290041,1,2129,0041,506,WEST 173 STREET,10032,40.843090869692,-73.935037530932,Manhattan,2026-01-29T10:45:59.000,Rat Activity,2026-01-30T06:45:26.000,"{'latitude': '40.843090869692', 'longitude': '-73.935037530932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,10,253,1063103,Washington Heights (South),,
Compliance,14234759,PC8640496,2,1004090039,1,00409,0039,90,LUDLOW STREET,10002,40.718324034761,-73.989238963688,Manhattan,2026-01-29T10:51:01.000,Rat Activity,2026-01-29T20:49:59.000,"{'latitude': '40.718324034761', 'longitude': '-73.989238963688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,18,1082501,Lower East Side,,
Initial,14234544,PC8658691,1,3035120021,3,03512,0021,599,HOWARD AVENUE,11212,40.667328788416,-73.919799337526,Brooklyn,2026-01-29T10:53:56.000,Failed for Other R,2026-01-30T12:15:20.000,"{'latitude': '40.667328788416', 'longitude': '-73.919799337526', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16,41,900,3326464,Brownsville,1006499,182415
Initial,14234951,PC8660136,1,1014520018,1,01452,0018,341,EAST 77 STREET,10075,40.771588795009,-73.95497892365,Manhattan,2026-01-29T10:54:59.000,Failed for Other R,2026-02-02T08:01:06.000,"{'latitude': '40.771588795009', 'longitude': '-73.95497892365', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,5,134,1045207,Upper East Side-Lenox Hill-Roosevelt Island,,
Initial,14234798,PC8658764,1,3037580023,3,03758,0023,324,BRADFORD STREET,11207,40.670983742474,-73.891763331548,Brooklyn,2026-01-29T10:58:30.000,Rat Activity,2026-01-30T12:28:51.000,"{'latitude': '40.670983742474', 'longitude': '-73.891763331548', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5,42,1158,3084175,East New York (North),1014275,183755
Compliance,14235018,PC8631910,2,2048240080,2,04824,0080,686,EAST  223 STREET,10466,40.886615428772,-73.861982424949,Bronx,2026-01-29T11:08:17.000,Failed for Other R,2026-01-30T11:48:24.000,"{'latitude': '40.886615428772', 'longitude': '-73.861982424949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,12,394,2062927,Williamsbridge-Olinville,1022412,262328
Initial,14234546,PC8655432,1,2032860024,2,03286,0024,2566,BAINBRIDGE AVENUE,10458,40.863148026533,-73.89289550913,Bronx,2026-01-29T11:10:00.000,Failed for Other R,2026-02-02T10:04:09.000,"{'latitude': '40.863148026533', 'longitude': '-73.89289550913', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,15,39901,2016591,University Heights (North)-Fordham,,
Compliance,14235036,PC8642252,2,1020570053,1,02057,0053,470,WEST 141 STREET,10031,40.822353042656,-73.948697368421,Manhattan,2026-01-29T11:10:43.000,Rat Activity,2026-01-30T12:01:54.000,"{'latitude': '40.822353042656', 'longitude': '-73.948697368421', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,9,227,1061211,Hamilton Heights-Sugar Hill,,
Initial,14234754,PC8661909,1,4004700001,4,00470,0001,40-01,VERNON BOULEVARD,11101,40.757767741265,-73.945852405303,Queens,2026-01-29T11:22:02.000,Failed for Other R,2026-01-30T10:28:18.000,"{'latitude': '40.757767741265', 'longitude': '-73.945852405303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,26,25,4433367,Queensbridge-Ravenswood-Dutch Kills,,
Initial,14234967,PC8659478,1,1004917503,1,00491,7503,246,SPRING STREET,10013,40.725609031324,-74.005253029906,Manhattan,2026-01-29T11:28:37.000,Rat Activity,2026-02-02T08:09:12.000,"{'latitude': '40.725609031324', 'longitude': '-74.005253029906', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2,1,37,1088431,SoHo-Little Italy-Hudson Square,,
Initial,14234954,PC8660060,1,1014520124,1,01452,0124,355,EAST 77 STREET,10075,40.771487145353,-73.954740709815,Manhattan,2026-01-29T11:28:59.000,Rat Activity and F,2026-02-02T08:07:20.000,"{'latitude': '40.771487145353', 'longitude': '-73.954740709815', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,5,134,1045231,Upper East Side-Lenox Hill-Roosevelt Island,,
Compliance,14235037,PC8642366,2,1020870097,1,02087,0097,3427,BROADWAY,10031,40.822920309527,-73.953021866481,Manhattan,2026-01-29T11:30:43.000,Rat Activity,2026-01-30T12:07:55.000,"{'latitude': '40.822920309527', 'longitude': '-73.953021866481', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,225,1062311,Hamilton Heights-Sugar Hill,,
Initial,14234761,PC8656701,1,1003440153,1,00344,0153,181,STANTON STREET,10002,40.720063601335,-73.983964445239,Manhattan,2026-01-29T11:33:53.000,Rat Activity,2026-01-29T20:47:24.000,"{'latitude': '40.720063601335', 'longitude': '-73.983964445239', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,2201,1000000,Lower East Side,988695,201618
Compliance,14235610,PC8647029,2,1019240104,1,01924,0104,281,WEST  118 STREET,10026,40.805439318531,-73.95372779328,Manhattan,2026-01-29T11:42:11.000,Rat Activity and F,2026-02-02T12:45:49.000,"{'latitude': '40.805439318531', 'longitude': '-73.95372779328', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,220,1058438,Harlem (South),997060,232726
Compliance,14235038,PC8642635,2,1020890029,1,02089,0029,601,WEST 142 STREET,10031,40.824665627866,-73.952204036808,Manhattan,2026-01-29T11:43:43.000,Failed for Other R,2026-01-30T12:58:28.000,"{'latitude': '40.824665627866', 'longitude': '-73.952204036808', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,229,1062345,Hamilton Heights-Sugar Hill,,
Initial,14235032,PC8656667,1,2033240095,2,03324,0095,3399,JEROME AVENUE,10467,40.880513305741,-73.883783302571,Bronx,2026-01-29T11:45:00.000,Rat Activity,2026-01-30T11:57:33.000,"{'latitude': '40.880513305741', 'longitude': '-73.883783302571', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,11,421,2017697,Norwood,1016387,260096
Initial,14234555,PC8655690,1,2032010030,2,03201,0030,2575,JEROME AVENUE,10468,40.865162878495,-73.899208448085,Bronx,2026-01-29T11:59:00.000,Failed for Other R,2026-02-02T10:13:50.000,"{'latitude': '40.865162878495', 'longitude': '-73.899208448085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,265,2014378,University Heights (North)-Fordham,,
Initial,14234721,PC8660176,1,3026010028,3,02601,0028,193,MESEROLE AVENUE,11222,40.728443967516,-73.948622016034,Brooklyn,2026-01-29T12:00:36.000,Failed for Other R,2026-01-29T20:36:55.000,"{'latitude': '40.728443967516', 'longitude': '-73.948622016034', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,33,573,3065428,Greenpoint,,
Initial,14234722,PC8659791,1,3026010024,3,02601,0024,193,DIAMOND STREET,11222,40.728899655038,-73.948747944385,Brooklyn,2026-01-29T12:06:53.000,Failed for Other R,2026-01-29T20:36:29.000,"{'latitude': '40.728899655038', 'longitude': '-73.948747944385', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,33,573,3065427,Greenpoint,,
Compliance,14235040,PC8642342,2,1020650021,1,02065,0021,417,WEST 150 STREET,10031,40.827554521977,-73.943273242765,Manhattan,2026-01-29T12:13:43.000,Rat Activity,2026-01-30T13:35:52.000,"{'latitude': '40.827554521977', 'longitude': '-73.943273242765', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,9,23501,1061577,Hamilton Heights-Sugar Hill,,
Initial,14234891,PC8655846,1,2031980150,2,03198,0150,2345,JEROME AVENUE,10468,40.85978924178,-73.903034231866,Bronx,2026-01-29T12:28:04.000,Rat Activity,2026-02-03T10:12:37.000,"{'latitude': '40.85978924178', 'longitude': '-73.903034231866', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,239,2014293,Fordham Heights,,
Initial,14234980,PC8661191,1,3000410001,3,00041,0001,73,JAY STREET,11201,40.702516637482,-73.986673629017,Brooklyn,2026-01-29T12:28:26.000,Failed for Other R,2026-02-02T12:36:47.000,"{'latitude': '40.702516637482', 'longitude': '-73.986673629017', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2,33,21,3000091,Downtown Brooklyn-DUMBO-Boerum Hill,,
Compliance,14234968,PC8629691,2,1020460018,1,02046,0018,304,WEST 151 STREET,10039,40.826685169929,-73.939331819107,Manhattan,2026-01-29T12:34:25.000,Rat Activity,2026-01-30T09:25:32.000,"{'latitude': '40.826685169929', 'longitude': '-73.939331819107', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,23502,1060855,Harlem (North),,
Initial,14234894,PC8655664,1,2031980149,2,03198,0149,2351,JEROME AVENUE,10468,40.859929152747,-73.902950878246,Bronx,2026-01-29T12:39:00.000,Rat Activity,2026-02-03T10:15:25.000,"{'latitude': '40.859929152747', 'longitude': '-73.902950878246', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,239,2014292,Fordham Heights,,
Compliance,14235614,PC8648205,2,1019250015,1,01925,0015,182,ST NICHOLAS AVENUE,10026,40.805954954476,-73.952802704458,Manhattan,2026-01-29T12:40:00.000,Rat Activity and F,2026-02-02T13:03:47.000,"{'latitude': '40.805954954476', 'longitude': '-73.952802704458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,220,1058446,Harlem (South),,
Compliance,14235615,PC8647624,2,1019250013,1,01925,0013,180,ST NICHOLAS AVENUE,10026,40.805897313325,-73.952799133268,Manhattan,2026-01-29T12:48:05.000,Rat Activity,2026-02-02T13:11:48.000,"{'latitude': '40.805897313325', 'longitude': '-73.952799133268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,220,1058445,Harlem (South),,
Compliance,14235042,PC8625545,2,2028870094,2,02887,0094,1436,CLAY AVENUE,10456,40.837706025011,-73.907482795139,Bronx,2026-01-29T12:50:00.000,Failed for Other R,2026-01-30T13:40:21.000,"{'latitude': '40.837706025011', 'longitude': '-73.907482795139', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,17702,2009298,Mount Eden-Claremont (West),,
Initial,14234898,PC8655502,1,2031980081,2,03198,0081,2359,JEROME AVENUE,10468,40.860112954857,-73.902838538505,Bronx,2026-01-29T12:52:04.000,Failed for Other R,2026-02-03T10:18:01.000,"{'latitude': '40.860112954857', 'longitude': '-73.902838538505', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,239,2014279,Fordham Heights,,
Compliance,14234971,PC8629708,2,1020470001,1,02046,0053,224,BRADHURST AVENUE,10039,40.828392325302,-73.939192945615,Manhattan,2026-01-29T13:04:25.000,Failed for Other R,2026-01-30T09:29:23.000,"{'latitude': '40.828392325302', 'longitude': '-73.939192945615', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,23502,1060880,Harlem (North),,
Compliance,14235043,PC8625196,2,2028870151,2,02887,0151,1385,WEBSTER AVENUE,10456,40.835971410159,-73.9075574938,Bronx,2026-01-29T13:05:30.000,Rat Activity,2026-01-30T13:53:09.000,"{'latitude': '40.835971410159', 'longitude': '-73.9075574938', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,17702,2009303,Mount Eden-Claremont (West),,
Initial,14234959,PC8660369,1,1014520031,1,01452,0031,354,EAST 78 STREET,10075,40.772107281188,-73.954288989296,Manhattan,2026-01-29T13:25:59.000,Rat Activity and F,2026-02-02T08:14:53.000,"{'latitude': '40.772107281188', 'longitude': '-73.954288989296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,5,134,1045214,Upper East Side-Lenox Hill-Roosevelt Island,,
Initial,14234996,PC8661352,1,3000420001,3,00042,0001,53,BRIDGE STREET,11201,40.70292261203,-73.984661054846,Brooklyn,2026-01-29T13:29:45.000,Rat Activity,2026-02-02T12:39:43.000,"{'latitude': '40.70292261203', 'longitude': '-73.984661054846', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2,33,21,3335871,Downtown Brooklyn-DUMBO-Boerum Hill,,
Initial,14234917,PC8655269,1,2031980038,2,03198,0038,31,NORTH STREET,10468,40.860114285549,-73.904425599347,Bronx,2026-01-29T13:50:04.000,Failed for Other R,2026-02-03T13:03:49.000,"{'latitude': '40.860114285549', 'longitude': '-73.904425599347', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,253,2014258,University Heights (North)-Fordham,,
Compliance,14235048,PC8625763,2,2024390030,2,02439,0030,1242,MORRIS AVENUE,10456,40.834430668525,-73.913392277199,Bronx,2026-01-29T14:18:30.000,Rat Activity,2026-01-30T14:16:10.000,"{'latitude': '40.834430668525', 'longitude': '-73.913392277199', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,17701,2002416,Concourse-Concourse Village,,
Initial,14234965,PC8660281,1,1014520036,1,1452,0036,342,EAST 78 STREET,10075,40.772192450367,-73.954494722505,Manhattan,2026-01-29T14:21:59.000,Rat Activity,2026-02-02T08:15:25.000,"{'latitude': '40.772192450367', 'longitude': '-73.954494722505', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,5,134,1045218,Upper East Side-Lenox Hill-Roosevelt Island,,
Initial,14234825,PC8654536,1,3016490001,3,01649,0001,367,MARCUS GARVEY BLVD,11221,40.684731190426,-73.938379778098,Brooklyn,2026-01-29T14:31:00.000,Rat Activity and F,2026-02-02T14:57:37.000,"{'latitude': '40.684731190426', 'longitude': '-73.938379778098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,275,3045367,Bedford-Stuyvesant (East),,
Compliance,14235299,PC8640466,2,4006490042,4,00649,0042,31-18,37 STREET,11103,40.761476692707,-73.919176554102,Queens,2026-01-30T08:00:00.000,Rat Activity,2026-02-03T11:27:16.000,"{'latitude': '40.761476692707', 'longitude': '-73.919176554102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,22,61,4436900,Astoria (Central),1006640,216716
Compliance,14235102,PC8645959,2,1021310048,1,02131,0048,2304,AMSTERDAM AVENUE,10033,40.843803936519,-73.93404651748,Manhattan,2026-01-30T08:00:51.000,Rat Activity,2026-02-02T09:26:54.000,"{'latitude': '40.843803936519', 'longitude': '-73.93404651748', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,10,261,1063171,Washington Heights (South),,
Initial,14235260,PC8654503,1,1020820047,1,02082,0047,520,WEST 151 STREET,10031,40.829347984541,-73.945645775795,Manhattan,2026-01-30T08:28:00.000,Rat Activity,2026-02-02T12:16:20.000,"{'latitude': '40.829347984541', 'longitude': '-73.945645775795', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,237,1062162,Hamilton Heights-Sugar Hill,,
Initial,14235301,PC8657237,1,4006510069,4,00651,0069,30-58,37 STREET,11103,40.763267982485,-73.917715972566,Queens,2026-01-30T08:35:00.000,Failed for Other R,2026-02-03T11:23:32.000,"{'latitude': '40.763267982485', 'longitude': '-73.917715972566', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,22,63,4010036,Astoria (Central),1007044,217369
Initial,14235350,PC8655397,1,2031980021,2,03198,0021,2326,GRAND AVENUE,10468,40.860614069223,-73.904717709902,Bronx,2026-01-30T08:37:03.000,Failed for Other R,2026-02-03T13:06:32.000,"{'latitude': '40.860614069223', 'longitude': '-73.904717709902', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,253,2014247,University Heights (North)-Fordham,,
Initial,14235351,PC8655765,1,2031980020,2,03198,0020,2322,GRAND AVENUE,10468,40.860575661009,-73.904739456356,Bronx,2026-01-30T08:42:03.000,Rat Activity and F,2026-02-03T13:06:48.000,"{'latitude': '40.860575661009', 'longitude': '-73.904739456356', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,253,2014246,University Heights (North)-Fordham,,
Initial,14235352,PC8655619,1,2031980018,2,03198,0018,2320,GRAND AVENUE,10468,40.860556459896,-73.90475394477,Bronx,2026-01-30T08:47:03.000,Rat Activity and F,2026-02-03T13:07:05.000,"{'latitude': '40.860556459896', 'longitude': '-73.90475394477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,253,2014245,University Heights (North)-Fordham,,
Initial,14235353,PC8655200,1,2031980017,2,03198,0017,2316,GRAND AVENUE,10468,40.860518051675,-73.904775691184,Bronx,2026-01-30T08:52:03.000,Failed for Other R,2026-02-03T13:07:26.000,"{'latitude': '40.860518051675', 'longitude': '-73.904775691184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,253,2014244,University Heights (North)-Fordham,,
Compliance,14235302,PC8622827,3,4006510019,4,00651,0019,30-65,36 STREET,11103,40.763521125664,-73.918592867568,Queens,2026-01-30T08:59:00.000,Rat Activity,2026-02-03T11:36:06.000,"{'latitude': '40.763521125664', 'longitude': '-73.918592867568', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,22,63,4009986,Astoria (Central),1006801,217461
Initial,14235269,PC8654285,1,1020820001,1,02082,0001,3640,BROADWAY,10031,40.829683959419,-73.948059328904,Manhattan,2026-01-30T09:02:00.000,Rat Activity,2026-02-02T14:03:41.000,"{'latitude': '40.829683959419', 'longitude': '-73.948059328904', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,237,1062137,Hamilton Heights-Sugar Hill,,
Treatments,3062427,PC8596827,10,1020660021,1,02066,0021,486,Convent Ave,10031,40.828531403696,-73.94277736363,Manhattan,2026-01-30T09:06:22.000,Bait applied,2026-02-03T10:41:11.000,"{'latitude': '40.828531403696', 'longitude': '-73.94277736363', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,23501,1061592,Hamilton Heights-Sugar Hill,,
Initial,14235213,PC8658562,1,3010900004,3,01090,0004,414,8 STREET,11215,40.667267382082,-73.980628437023,Brooklyn,2026-01-30T09:10:00.000,Rat Activity,2026-02-02T08:38:50.000,"{'latitude': '40.667267382082', 'longitude': '-73.980628437023', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,39,153,3025856,Park Slope,989624,182383
Compliance,14235331,PC8349587,11,3023660012,3,02366,0012,228,METROPOLITAN AVENUE,11211,40.71513636187,-73.959955570623,Brooklyn,2026-01-30T09:12:00.000,Rat Activity,2026-02-02T07:39:33.000,"{'latitude': '40.71513636187', 'longitude': '-73.959955570623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,553,3062460,Williamsburg,995351,199825
Compliance,14235142,PC8646129,2,3013490007,3,01349,0007,97,UTICA AVENUE,11213,40.675476775186,-73.930478709138,Brooklyn,2026-01-30T09:22:00.000,Rat Activity,2026-02-02T08:58:23.000,"{'latitude': '40.675476775186', 'longitude': '-73.930478709138', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,307,3035812,Crown Heights (North),1003534,185381
Compliance,14235303,PC8567377,7,4006510028,4,00651,0028,30-43,36 STREET,11103,40.763902426167,-73.918281945386,Queens,2026-01-30T09:25:00.000,Rat Activity,2026-02-03T11:44:06.000,"{'latitude': '40.763902426167', 'longitude': '-73.918281945386', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,22,63,4009995,Astoria (Central),1006887,217600
Compliance,14235332,PC8327898,6,3023807501,3,02380,7501,142,NORTH    1 STREET,11249,40.715169821744,-73.961481431291,Brooklyn,2026-01-30T09:26:00.000,Rat Activity,2026-02-02T12:45:51.000,"{'latitude': '40.715169821744', 'longitude': '-73.961481431291', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,553,3062617,Williamsburg,994928,199837
Initial,14235100,PC8662161,1,1018550001,1,01855,0001,865,AMSTERDAM AVENUE,10025,40.798033205818,-73.967439707623,Manhattan,2026-01-30T09:30:51.000,Rat Activity and F,2026-02-02T11:11:50.000,"{'latitude': '40.798033205818', 'longitude': '-73.967439707623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,7,189,1079408,Upper West Side-Manhattan Valley,,
Compliance,14235143,PC8644499,2,3013490002,3,01349,0002,107,UTICA AVENUE,11213,40.675202312966,-73.930504232142,Brooklyn,2026-01-30T09:31:00.000,Rat Activity,2026-02-02T09:00:18.000,"{'latitude': '40.675202312966', 'longitude': '-73.930504232142', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,307,3035807,Crown Heights (North),,
